asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,anomaly_iforest
2120,2025-02-03 10:22:05.322000+00:00,FW03-KT1-W,Laundry,Kitchen - utility room ,15701,7.0,10.467,0,56.75,2,1
2123,2025-02-03 16:30:08.652000+00:00,FW23-BA1-T,WC,Bathroom 1st floor ,104017,13.0,69.345,0,413.75,1,1
2186,2025-02-03 16:31:55.362000+00:00,FW23-KT1-FKb,Faucet,Kitchen,60149,9.0,40.099,1,727.25,1,1
2186,2025-02-03 16:31:55.362000+00:00,FW23-KT1-FKb,Faucet,Kitchen,23357,26.0,15.571,0,146.0,1,1
2807,2025-02-03 20:22:09.922000+00:00,FW19-KT1-FK,Faucet,Kitchen sink cold,16365,10.0,10.91,0,60.25,1,1
2123,2025-02-04 07:35:04.728000+00:00,FW23-BA1-T,WC,Bathroom 1st floor ,12561,0.0,8.374,0,50.0,1,1
2729,2025-02-04 08:31:19.127000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11795,0.0,7.863,0,59.75,1,1
2729,2025-02-04 08:32:19.120000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11826,0.0,7.884,0,60.0,1,1
2729,2025-02-04 13:16:17.717000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11843,0.0,7.895,0,60.0,1,1
3190,2025-02-04 18:11:37.282000+00:00,FW29-KT-FK,Faucet,Kitchen,13262,1.0,8.842,1,51.5,1,1
2135,2025-02-04 10:10:50.749000+00:00,FW26-BA1-T,WC,Bathroom 1st floor ,14004,1.0,9.336,0,43.0,1,1
2829,2025-02-04 08:05:49.997000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13077,0.0,8.718,0,59.0,1,1
2829,2025-02-04 08:19:49.930000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12993,1.0,8.662,0,58.75,1,1
2829,2025-02-04 08:23:49.899000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13157,0.0,8.771,0,60.25,1,1
2829,2025-02-04 08:29:49.884000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14302,0.0,9.535,0,60.25,1,1
2829,2025-02-04 08:42:49.823000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11772,0.0,7.848,0,54.0,1,1
2829,2025-02-04 08:56:49.752000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13314,0.0,8.876,0,60.0,1,1
2829,2025-02-04 09:00:49.740000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13189,0.0,8.792,0,60.0,1,1
2829,2025-02-04 09:06:49.709000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14294,0.0,9.529,0,60.0,1,1
3020,2025-02-04 09:02:41.758000+00:00,FW69-KT-W,Laundry,Kitchen,12316,1.0,8.211,0,56.75,1,1
3020,2025-02-04 09:38:41.582000+00:00,FW69-KT-W,Laundry,Kitchen,12680,1.0,8.454,0,58.75,1,1
3020,2025-02-04 09:50:41.525000+00:00,FW69-KT-W,Laundry,Kitchen,11919,0.0,7.946,0,56.25,1,1
3020,2025-02-04 14:40:40.144000+00:00,FW69-KT-W,Laundry,Kitchen,12069,0.0,8.046,0,60.0,1,1
2130,2025-02-04 09:29:50.364000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,17199,0.0,11.466,0,60.25,1,1
2130,2025-02-04 09:56:50.196000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,15228,0.0,10.152,0,52.5,1,1
2130,2025-02-04 10:01:50.155000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,12246,1.0,8.164,0,40.5,1,1
2130,2025-02-04 10:02:50.155000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,11321,1.0,7.548,0,38.5,1,1
2130,2025-02-04 14:18:48.610000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,16242,1.0,10.828,0,54.75,1,1
2130,2025-02-04 14:29:48.522000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,13888,0.0,9.259,0,47.75,1,1
2130,2025-02-04 14:38:48.485000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,12599,1.0,8.4,0,42.0,1,1
2130,2025-02-04 15:38:48.117000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,15202,1.0,10.135,0,51.5,1,1
2130,2025-02-04 15:39:48.112000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,12237,0.0,8.158,0,43.0,1,1
2130,2025-02-04 15:48:48.053000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,11846,1.0,7.897,0,39.75,1,1
2131,2025-02-04 16:52:42.257000+00:00,FW42-KT1-FK,Faucet,Kitchen,19765,1.0,13.176,1,73.5,1,1
2764,2025-02-04 09:12:19.133000+00:00,FW45-BA1-T,WC,Toilet,21138,1.0,14.092,0,57.75,1,1
2147,2025-02-04 12:36:30.001000+00:00,FW30-KT1-FK,Faucet,Kitchen,11217,0.0,7.478,1,60.25,1,1
2147,2025-02-04 17:37:28.084000+00:00,FW30-KT1-FK,Faucet,Kitchen,14070,1.0,9.38,1,51.0,1,1
2816,2025-02-04 19:08:19.021000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,12855,0.0,8.57,1,60.0,1,1
3192,2025-02-04 06:29:58.764000+00:00,FW29-KT-WMb,Laundry,Kitchen,12418,0.0,8.279,0,62.25,1,1
2928,2025-02-04 14:52:52.048000+00:00,FW24-KT1-W,Laundry,Kitchen,15346,0.0,10.23,0,59.75,1,1
2910,2025-02-04 15:37:17.669000+00:00,FW18-KT1-W,Laundry,Kitchen,12466,0.0,8.311,0,59.75,1,1
2910,2025-02-04 15:38:17.663000+00:00,FW18-KT1-W,Laundry,Kitchen,12223,0.0,8.149,0,60.0,1,1
2910,2025-02-04 15:47:17.616000+00:00,FW18-KT1-W,Laundry,Kitchen,12186,1.0,8.124,0,58.5,1,1
2738,2025-02-04 12:00:16.831000+00:00,FW09-KT1-W,Laundry,Kitchen - utility room ,11759,1.0,7.84,0,59.25,1,1
2738,2025-02-04 12:01:16.805000+00:00,FW09-KT1-W,Laundry,Kitchen - utility room ,11139,0.0,7.426,0,57.25,1,1
2738,2025-02-04 12:14:16.748000+00:00,FW09-KT1-W,Laundry,Kitchen - utility room ,12104,0.0,8.069,0,60.0,1,1
