utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-06 18:52:52.935000+00:00,3123,FW60-KT-FK,Faucet,Kitchen,1803,1.0,1.202,0,7.5,1,0.15396797581563693,False,0.5405,0.3821736807030006,True,True
2025-02-06 05:06:03.269000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,228,1.0,0.152,1,2.25,1,-0.14941895160320548,False,0.0167,0.047544248394738226,True,True
2025-02-06 06:27:02.890000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,282,1.0,0.188,1,3.0,1,-0.13901711409170234,False,0.0353,0.07150143743604234,True,True
2025-02-06 06:39:02.824000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,1543,2.0,1.029,1,14.0,1,0.10398136777424669,False,0.13809999999999997,0.32086634462182884,True,True
2025-02-06 06:51:02.813000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,3793,1.0,2.528,1,37.25,1,0.5371023241560037,False,0.3957,0.8127327085551649,True,True
2025-02-06 06:52:02.808000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,4982,0.0,3.322,1,60.25,1,0.7665206292708237,False,0.7277,1.2133883732936863,True,True
2025-02-06 07:51:02.469000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,2904,1.0,1.936,0,30.25,1,0.36604988507795155,False,0.7783,0.6520964567368402,True,True
2025-02-06 07:53:02.460000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,3909,1.0,2.606,0,38.25,1,0.5596396387642605,False,0.9269000000000001,0.8833582952447033,True,True
2025-02-06 07:54:02.452000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,4675,0.0,3.117,0,46.75,1,0.7072879434414305,False,1.1282,1.124616161679601,True,True
2025-02-06 21:50:58.435000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,3387,1.0,2.258,1,55.75,1,0.45908854281972994,False,0.8888,0.7857869091977276,True,True
2025-02-06 22:33:58.215000+00:00,2814,FW35-BA1-FK,Faucet,Bathroom sink,5794,0.0,3.863,0,60.25,1,0.9228371318742462,False,1.1087,1.1709234769568577,True,True
2025-02-06 09:14:13.750000+00:00,2110,FW63-BA3-T,WC,Bathroom - ground floor,3129,0.0,2.086,0,12.5,1,0.40939087470921476,False,0.7349,0.6387382440752224,True,True
2025-02-06 10:31:13.298000+00:00,2110,FW63-BA3-T,WC,Bathroom - ground floor,6233,0.0,4.156,0,25.5,1,1.007496531620647,False,1.2597999999999998,1.2230661651947903,True,True
2025-02-06 11:07:13.093000+00:00,2110,FW63-BA3-T,WC,Bathroom - ground floor,8740,1.0,5.827,0,38.75,1,1.490315156112919,False,1.8135999999999999,1.8348809346778558,True,True
2025-02-06 13:59:12.062000+00:00,2110,FW63-BA3-T,WC,Bathroom - ground floor,9016,1.0,6.011,0,36.75,1,1.5434801033939354,False,3.5467999999999997,1.5279932955058808,True,True
2025-02-06 21:58:09.208000+00:00,2110,FW63-BA3-T,WC,Bathroom - ground floor,8578,1.0,5.719,0,36.25,1,1.4591096435784097,False,2.8594,1.8160531196342122,True,True
2025-02-06 09:59:19.014000+00:00,3092,FW62-BA-F,Faucet,Bathroom,13746,0.0,9.164,0,60.0,1,2.454507705443088,False,2.9579999999999997,2.8252165305413786,True,True
2025-02-06 13:22:32.173000+00:00,2113,FW41-KT1-FK,Faucet,Kitchen ,3633,1.0,2.422,0,35.75,1,0.5064746914832444,False,0.6378,0.6845527006738463,True,True
2025-02-06 18:38:30.127000+00:00,2113,FW41-KT1-FK,Faucet,Kitchen ,3968,2.0,2.645,1,25.25,1,0.570908296068389,False,0.9882,0.6868219565504959,True,True
2025-02-06 18:45:30.084000+00:00,2113,FW41-KT1-FK,Faucet,Kitchen ,4837,2.0,3.224,1,49.75,1,0.738204516045065,False,1.1981,0.9778246207212912,True,True
2025-02-06 19:54:29.693000+00:00,2113,FW41-KT1-FK,Faucet,Kitchen ,8934,0.0,5.956,1,43.75,1,1.5275884071958057,False,1.6187999999999998,1.826086331170772,True,True
2025-02-06 09:03:23.539000+00:00,2843,FW06-BA1-FK,Faucet,Kitchen,1728,1.0,1.152,1,9.25,1,0.13952097927188253,False,0.3385,0.43177160886525323,True,True
2025-02-06 10:14:23.204000+00:00,2843,FW06-BA1-FK,Faucet,Kitchen,9212,1.0,6.141,0,52.0,1,1.5810422944076967,False,0.9368000000000001,1.8777991136197099,True,True
2025-02-06 10:15:23.204000+00:00,2843,FW06-BA1-FK,Faucet,Kitchen,8969,0.0,5.98,0,55.0,1,1.5345229655368078,False,1.5263,2.4259789799400484,True,True
2025-02-06 06:42:49.863000+00:00,3086,FW20-BA-F,Faucet,Bathroom,1328,1.0,0.886,0,7.75,1,0.06266295765910913,False,0.29100000000000004,0.28117491590325244,True,True
