asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,reconstruction_error,anomaly_autoencoder
2657,2025-02-01 00:30:28.572000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:32:28.565000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:33:28.563000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:35:28.552000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:36:28.552000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:38:28.545000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:39:28.517000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:41:28.516000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:42:28.516000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:44:28.497000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:45:28.497000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:47:28.490000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:48:28.490000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:50:28.464000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:51:28.457000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:53:28.450000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
